method,task,budget,n,aubc_mean,aubc_std,hv_final_mean,hv_final_std,pareto_size_mean,pareto_size_std,valid_yield_per_100_calls_mean,valid_yield_per_100_calls_std,invalid_null_proxy_rate_mean,invalid_null_proxy_rate_std,recorded_null_rate_mean,recorded_null_rate_std,valid_count_mean,valid_count_std,null_score_count_mean,null_score_count_std,sample_count_mean,sample_count_std
full,bi_kp,50,5,30595.081045775918,3615.420541276064,35331.15958226822,2461.794083728748,6.0,0.0,14.8,3.03315017762062,0.8334343434343434,0.03356287662094458,0.0,0.0,7.4,1.51657508881031,0.0,0.0,7.4,1.51657508881031
full,bi_kp,100,5,28990.40519447092,8224.104699038695,35728.23221904697,3918.223539789011,8.0,0.0,13.8,1.7888543819998317,0.8479609279609279,0.020268326049323156,0.0,0.0,13.8,1.7888543819998317,0.0,0.0,13.8,1.7888543819998317
full,bi_kp,200,5,24189.08308982593,9294.791166291348,30175.451630595526,9609.970709271742,10.0,0.0,10.8,2.4392621835300936,0.8822760750772155,0.02630841440240698,0.0,0.0,21.6,4.878524367060187,0.0,0.0,21.6,4.878524367060187
mpage_orig,bi_tsp,25,5,9841.931473058481,2014.447470685336,14750.830234950628,622.6287551591525,4.0,0.0,32.800000000000004,6.572670690061991,0.18706293706293706,0.11184542181662575,0.18706293706293706,0.11184542181662575,8.2,1.6431676725154984,2.0,1.4142135623730951,10.2,2.16794833886788
mpage_orig,bi_tsp,50,5,11807.552832209507,1027.4450481708864,14911.440973810697,266.07436365382915,6.0,0.0,22.8,5.403702434442518,0.2745660531419045,0.08746877099899138,0.2745660531419045,0.08746877099899138,11.4,2.701851217221259,4.6,2.4083189157584592,16.0,4.47213595499958
mpage_orig,bi_tsp,100,5,12956.306839842173,488.2880765600167,15096.618843602013,89.22998930891276,8.0,0.0,19.8,1.6431676725154984,0.21897902097902097,0.04886880203376952,0.21897902097902097,0.04886880203376952,19.8,1.6431676725154984,5.6,1.51657508881031,25.4,2.1908902300206643
mpage_orig,bi_tsp,200,5,13462.571498930798,678.3943278513354,15016.311139088282,262.7024707961138,10.0,0.0,16.0,3.905124837953327,0.30142752630097314,0.1041745046021358,0.30142752630097314,0.1041745046021358,32.0,7.810249675906654,13.4,3.5071355833500366,45.4,6.58027355054484
mpage_orig,tri_tsp,25,5,87564.65369176242,34752.667878287124,206676.62668638738,785.8609026020088,6.0,0.0,24.0,0.0,0.28714285714285714,0.15895064052229857,0.28714285714285714,0.15895064052229857,6.0,0.0,2.8,2.16794833886788,8.8,2.16794833886788
mpage_orig,tri_tsp,50,5,137434.62173016855,16143.730822279967,206978.34105713342,420.00749521982556,8.0,0.0,18.4,3.286335345030997,0.3344537815126051,0.1402376790869448,0.3344537815126051,0.1402376790869448,9.2,1.6431676725154984,4.8,2.588435821108957,14.0,1.7320508075688772
mpage_orig,tri_tsp,100,5,152646.74125501543,19390.622488398243,207362.14294651497,561.1101880333053,10.0,0.0,11.8,1.7888543819998324,0.4342369991474851,0.1000092951057835,0.4342369991474851,0.1000092951057835,11.8,1.7888543819998317,9.4,3.5071355833500366,21.2,3.492849839314596
