ablation,task,budget,seed,aubc,consumed_budget,total_budget,hv_final,pareto_size,n_calls,run_dir,sample_count,valid_count,null_score_count,recorded_null_rate,valid_yield_per_100_calls,generation_attempts,non_generation_calls,unregistered_generation_count,invalid_null_proxy_rate
no_ph,bi_tsp,100,2028,14301.297422468355,100.0,100.0,15678.544344445982,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/bi_tsp/B100/seed2028/20260623_162913_BITSPEvaluation_BMAB-no_ph,19,19,0,0.0,19.0,90,10,71,0.7888888888888889
no_ph,bi_tsp,100,2029,14376.635964954055,100.0,100.0,15210.163260894631,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/bi_tsp/B100/seed2029/20260623_165252_BITSPEvaluation_BMAB-no_ph,23,23,0,0.0,23.0,90,10,67,0.7444444444444445
no_ph,bi_tsp,200,2025,14320.411526039003,200.0,200.0,15159.173499977216,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/bi_tsp/B200/seed2025/20260623_171615_BITSPEvaluation_BMAB-no_ph,46,46,0,0.0,23.0,183,17,137,0.7486338797814208
no_ph,bi_tsp,200,2026,14292.220561537462,200.0,200.0,15073.420478904969,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/bi_tsp/B200/seed2026/20260623_180914_BITSPEvaluation_BMAB-no_ph,42,42,0,0.0,21.0,183,17,141,0.7704918032786885
no_ph,bi_tsp,200,2027,13944.401189815118,200.0,200.0,15174.413784576891,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/bi_tsp/B200/seed2027/20260623_184221_BITSPEvaluation_BMAB-no_ph,37,37,0,0.0,18.5,183,17,146,0.7978142076502732
no_ph,bi_tsp,200,2028,13949.944089373887,200.0,200.0,15167.434976163075,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/bi_tsp/B200/seed2028/20260623_191612_BITSPEvaluation_BMAB-no_ph,66,66,0,0.0,33.0,183,17,117,0.639344262295082
no_ph,bi_tsp,200,2029,14394.566465870645,200.0,200.0,15115.411899557888,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/bi_tsp/B200/seed2029/20260623_195412_BITSPEvaluation_BMAB-no_ph,34,34,0,0.0,17.0,183,17,149,0.8142076502732241
no_ph,bi_tsp,25,2025,11723.658410148239,25.0,25.0,15030.331295061846,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/bi_tsp/B25/seed2025/20260623_143256_BITSPEvaluation_BMAB-no_ph,4,4,0,0.0,16.0,22,3,18,0.8181818181818182
no_ph,bi_tsp,25,2026,13205.434009921544,25.0,25.0,15007.718187584673,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/bi_tsp/B25/seed2026/20260623_143656_BITSPEvaluation_BMAB-no_ph,7,7,0,0.0,28.000000000000004,21,4,14,0.6666666666666666
no_ph,bi_tsp,25,2027,13369.196789652739,25.0,25.0,14966.850498516598,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/bi_tsp/B25/seed2027/20260623_144109_BITSPEvaluation_BMAB-no_ph,10,10,0,0.0,40.0,21,4,11,0.5238095238095238
no_ph,bi_tsp,25,2028,11854.94737583393,25.0,25.0,14821.979108993319,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/bi_tsp/B25/seed2028/20260623_144526_BITSPEvaluation_BMAB-no_ph,7,7,0,0.0,28.000000000000004,22,3,15,0.6818181818181818
no_ph,bi_tsp,25,2029,10893.960197026307,25.0,25.0,15085.439900015408,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/bi_tsp/B25/seed2029/20260623_145047_BITSPEvaluation_BMAB-no_ph,7,7,0,0.0,28.000000000000004,22,3,15,0.6818181818181818
