ablation,task,budget,seed,aubc,hv_final,pareto_size,consumed_budget,total_budget,n_calls,run_dir
full,bi_tsp,50,2027,12667.16729879381,14406.545987334657,6,50.0,50.0,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B50/seed2027/20260523_235043_BITSPEvaluation_BMAB-full
full,bi_tsp,50,2028,13143.880821963163,14287.64072405273,6,50.0,50.0,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B50/seed2028/20260523_235714_BITSPEvaluation_BMAB-full
full,bi_tsp,50,2029,12846.873159044133,14766.520872464524,6,50.0,50.0,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B50/seed2029/20260524_000646_BITSPEvaluation_BMAB-full
full,tri_tsp,100,2025,190330.4460343633,206880.91960256876,10,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B100/seed2025/20260524_062100_TRITSPEvaluation_BMAB-full
full,tri_tsp,100,2026,180024.20747181948,205741.95139636513,10,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B100/seed2026/20260524_065448_TRITSPEvaluation_BMAB-full
full,tri_tsp,100,2027,191031.04118144469,207642.4360667877,10,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B100/seed2027/20260524_073104_TRITSPEvaluation_BMAB-full
full,tri_tsp,100,2028,175384.14469966423,207555.200828005,10,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B100/seed2028/20260524_075945_TRITSPEvaluation_BMAB-full
full,tri_tsp,100,2029,186362.56002084582,207069.51113427317,10,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B100/seed2029/20260524_082723_TRITSPEvaluation_BMAB-full
full,tri_tsp,200,2025,195367.08037540573,207286.02692350736,12,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B200/seed2025/20260524_090126_TRITSPEvaluation_BMAB-full
full,tri_tsp,200,2026,197684.51194632772,206999.48894903425,12,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B200/seed2026/20260524_095222_TRITSPEvaluation_BMAB-full
full,tri_tsp,200,2027,192191.30458467457,206657.31675771464,12,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B200/seed2027/20260524_103945_TRITSPEvaluation_BMAB-full
full,tri_tsp,200,2028,193669.6660473449,207133.3326709571,12,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B200/seed2028/20260524_112453_TRITSPEvaluation_BMAB-full
full,tri_tsp,200,2029,196713.79597432548,208162.74706277827,12,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B200/seed2029/20260524_121235_TRITSPEvaluation_BMAB-full
full,tri_tsp,25,2025,149173.74201258388,207185.75279525536,6,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B25/seed2025/20260524_032652_TRITSPEvaluation_BMAB-full
full,tri_tsp,25,2026,157431.92452441863,207147.26911107718,6,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B25/seed2026/20260524_034111_TRITSPEvaluation_BMAB-full
full,tri_tsp,25,2027,144905.63740059652,207008.0534294236,6,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B25/seed2027/20260529_213456_TRITSPEvaluation_BMAB-full
full,tri_tsp,25,2028,127846.85476983014,206204.604467468,6,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B25/seed2028/20260524_041723_TRITSPEvaluation_BMAB-full
full,tri_tsp,25,2029,143056.09789810536,204365.85414015054,6,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B25/seed2029/20260524_043222_TRITSPEvaluation_BMAB-full
full,tri_tsp,50,2025,184256.66479121306,207029.9604395652,8,50.0,50.0,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B50/seed2025/20260524_044749_TRITSPEvaluation_BMAB-full
full,tri_tsp,50,2026,164505.39888743593,208234.68213599484,8,50.0,50.0,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B50/seed2026/20260524_050653_TRITSPEvaluation_BMAB-full
full,tri_tsp,50,2027,150711.01069225543,206453.4393044595,8,50.0,50.0,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B50/seed2027/20260524_052430_TRITSPEvaluation_BMAB-full
full,tri_tsp,50,2028,151573.30416811164,207634.66324398856,8,50.0,50.0,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B50/seed2028/20260524_053855_TRITSPEvaluation_BMAB-full
full,tri_tsp,50,2029,147183.7394342237,207301.04145665313,8,50.0,50.0,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B50/seed2029/20260524_055540_TRITSPEvaluation_BMAB-full
