comparator,task,budget,metric,n_seeds,full_mean,comparator_mean,delta_mean,delta_std,delta_pct_from_means,paired_delta_pct_mean,wins,ties,losses,p_value
mpage_orig,bi_kp,100,hv_final,5,35728.23221904697,27239.858768085116,8488.373450961855,15786.161838261987,31.161591266791145,77.10771104679232,2,0,3,0.8125
mpage_orig,bi_kp,200,aubc,5,24189.083089825926,25270.78269230578,-1081.6996024798514,12529.686158024551,-4.280435693862383,3.5157402380629903,3,0,2,0.8125
mpage_orig,bi_kp,200,hv_final,5,30175.451630595526,29974.80829992475,200.64333067078115,11997.763760597547,0.6693731905244027,7.793710579827886,3,0,2,0.8125
dense_reward,bi_tsp,25,aubc,5,12428.342497742873,12109.761833035232,318.58066470763913,661.8338191335121,2.630775642825256,2.7121893087984583,3,0,2,0.3125
dense_reward,bi_tsp,25,hv_final,5,14717.520849463262,14767.22654067385,-49.705691210588704,329.2809757148281,-0.33659462779744853,-0.3229305918586678,3,0,2,1.0
dense_reward,bi_tsp,50,aubc,5,12931.550050176418,13211.289905799602,-279.73985562318484,251.98052249174617,-2.117430301036549,-2.080288303572011,0,0,5,0.0625
dense_reward,bi_tsp,50,hv_final,5,14810.352873583684,14629.559143982697,180.79372960098698,352.6929502279422,1.235811194456593,1.2574165230653178,3,0,2,0.3125
dense_reward,bi_tsp,100,aubc,5,14030.133982536267,13525.34690483358,504.7870777026863,569.4984616832186,3.732156234176087,3.8430470124493445,4,0,1,0.125
dense_reward,bi_tsp,100,hv_final,5,15023.614726933849,14840.163060031642,183.4516669022054,294.12323008693863,1.236183633293697,1.272991169724449,4,0,1,0.125
dense_reward,bi_tsp,200,aubc,5,14331.861838455114,14258.78433313733,73.0775053177822,479.70826364355133,0.5125086656087019,0.5606234881098127,3,0,2,0.8125
dense_reward,bi_tsp,200,hv_final,5,15198.49961538538,15227.378625460497,-28.879010075116092,48.39872956503522,-0.18965188155779522,-0.18770217529522792,1,0,4,0.3125
dense_reward,tri_tsp,25,aubc,5,144450.15885480464,149256.6018351161,-4806.442980311479,11145.831779997025,-3.220254863916261,-3.288141910169957,1,0,4,0.4375
dense_reward,tri_tsp,25,hv_final,5,206791.18680863173,206109.421852447,681.7649561847211,2187.764195047383,0.33077816145290484,0.33818270814388596,3,0,2,0.625
dense_reward,tri_tsp,50,aubc,5,160956.92304160612,166818.2373547693,-5861.314313163207,18380.27761332787,-3.5135932414260274,-2.9979592916880216,3,0,2,0.8125
dense_reward,tri_tsp,50,hv_final,5,207540.11827129213,207046.96247596867,493.1557953234413,337.4796953622117,0.23818547706571103,0.23814487861117062,5,0,0,0.0625
dense_reward,tri_tsp,100,aubc,5,179784.92002361311,179730.38356499808,54.53645861507393,11906.9804989639,0.03034348312918045,0.15526906028814552,3,0,2,1.0
dense_reward,tri_tsp,100,hv_final,5,207927.8098565409,207295.76719874254,632.0426577983075,893.9799080081226,0.30489896939980277,0.30542203520150135,4,0,1,0.1875
dense_reward,tri_tsp,200,aubc,5,188432.1466497327,187223.55146867744,1208.5951810552447,7456.424513722819,0.645535869592484,0.7333191152856511,3,0,2,0.8125
dense_reward,tri_tsp,200,hv_final,5,207635.00967666012,207455.07073145118,179.93894520895554,356.8645304150706,0.08673634468152613,0.08692392410605043,3,0,2,0.3125
dense_reward,bi_cvrp,25,aubc,5,13399.39245809876,9276.283823906891,4123.108634191868,4312.337427095433,44.44784907902204,31.800928856165914,4,0,1,0.1875
dense_reward,bi_cvrp,25,hv_final,5,18864.473998623725,16639.319062288785,2225.1549363349413,4159.31912217765,13.372872579732032,15.7256005264751,4,0,1,0.3125
dense_reward,bi_cvrp,50,aubc,5,13893.797438292266,13735.830303371817,157.96713492045237,2074.416995482591,1.1500370303910268,2.7781889656657905,2,0,3,1.0
dense_reward,bi_cvrp,50,hv_final,5,17669.63358871531,18126.068052783194,-456.434464067881,1866.9058889616863,-2.5181107272616576,-2.198033562739581,2,0,3,0.8125
dense_reward,bi_cvrp,100,aubc,5,14713.25354804101,14994.711965117991,-281.4584170769816,2464.397428481347,-1.8770511746523333,0.1826959887783385,1,0,4,0.625
dense_reward,bi_cvrp,100,hv_final,5,18874.829633509045,17098.674431075993,1776.1552024330504,1774.760886480338,10.387677767610914,10.70404390390035,4,0,1,0.1875
dense_reward,bi_cvrp,200,aubc,5,15707.164092901405,16821.71814317823,-1114.5540502768258,3613.199865022215,-6.625684967434875,-3.867984970467461,2,0,3,0.625
dense_reward,bi_cvrp,200,hv_final,5,19571.232765715155,19710.050447150115,-138.81768143496373,6217.936775132917,-0.7042989656834364,4.012704097353696,3,0,2,0.8125
dense_reward,bi_kp,25,aubc,5,23304.445221531994,21282.173094177462,2022.2721273545328,18434.987875190523,9.50218813842747,93.15646986323063,3,0,2,0.625
dense_reward,bi_kp,25,hv_final,5,28805.20819393613,25691.868129885424,3113.3400640507048,17331.988149897013,12.117997991859507,78.52505662112678,3,0,2,0.8125
dense_reward,bi_kp,50,aubc,5,30595.081045775918,21848.830997764715,8746.250048011201,9851.30193428201,40.0307460335338,71.58306861600747,5,0,0,0.0625
dense_reward,bi_kp,50,hv_final,5,35331.15958226822,31289.75790304233,4041.4016792258835,11113.349019174155,12.916052887813944,33.47066947285295,3,0,2,1.0
dense_reward,bi_kp,100,aubc,5,28990.40519447092,30128.49293746445,-1138.087742993523,10136.506227938586,-3.777446636165227,4.793687588866834,3,0,2,1.0
dense_reward,bi_kp,100,hv_final,5,35728.23221904697,36834.60207607608,-1106.3698570291047,1853.166756084334,-3.0036156078028897,-2.905299313061813,1,0,4,0.3125
dense_reward,bi_kp,200,aubc,5,24189.083089825926,32395.17339740295,-8206.090307577024,10634.80905797146,-25.331212791825607,-24.18829294830956,1,0,4,0.1875
dense_reward,bi_kp,200,hv_final,5,30175.451630595526,36641.44414332874,-6465.992512733226,12451.433569408926,-17.646663945450612,-15.469684230383866,2,0,3,0.625
hybrid_reward,bi_tsp,25,aubc,5,12428.342497742873,12145.103411993574,283.23908574929845,541.1164298876793,2.3321257641132576,2.4936951147594977,4,0,1,0.4375
hybrid_reward,bi_tsp,25,hv_final,5,14717.520849463262,14484.786833780225,232.73401568303743,149.48531519395968,1.6067479511695293,1.5977914097535217,5,0,0,0.0625
hybrid_reward,bi_tsp,50,aubc,5,12931.550050176418,12851.285647413717,80.26440276270114,1086.9749570643328,0.6245632146450131,1.2496858297664848,3,0,2,1.0
hybrid_reward,bi_tsp,50,hv_final,5,14810.352873583684,14821.508588744382,-11.155715160697946,488.2117774295835,-0.07526706943428163,-0.023975647144893662,2,0,3,1.0
hybrid_reward,bi_tsp,100,aubc,5,14030.133982536267,13795.438023539857,234.695958996407,600.5364041853443,1.701257753439478,1.8392487090632301,3,0,2,0.4375
hybrid_reward,bi_tsp,100,hv_final,5,15023.614726933849,14956.32716724005,67.28755969379854,469.4931966560441,0.44989360650777854,0.5389299620887478,1,0,4,0.625
hybrid_reward,bi_tsp,200,aubc,5,14331.861838455114,14203.974061159184,127.88777729592985,449.89788963083424,0.9003661703778976,0.939984414321391,3,0,2,0.625
hybrid_reward,bi_tsp,200,hv_final,5,15198.49961538538,15053.399989949805,145.09962543557376,279.3853925900945,0.9638993551785546,0.9828124601679921,3,0,2,0.4375
hybrid_reward,tri_tsp,25,aubc,5,144450.15885480464,157417.9140573497,-12967.755202545062,17620.297716507546,-8.237788742277907,-8.101827204259028,2,0,3,0.3125
