method,task,budget,n,aubc_mean,aubc_std,hv_final_mean,hv_final_std,pareto_size_mean,pareto_size_std,valid_yield_per_100_calls_mean,valid_yield_per_100_calls_std,invalid_null_proxy_rate_mean,invalid_null_proxy_rate_std,recorded_null_rate_mean,recorded_null_rate_std
mpage_orig,bi_kp,25,5,16217.363708114684,8902.741756192689,24123.138004274635,13166.165168648677,4.0,0.0,19.2,3.3466401061363023,0.3938034188034188,0.16022720531607093,0.3938034188034188,0.16022720531607093
mpage_orig,bi_kp,50,5,21096.101819160813,5454.709252137485,29638.702837502242,8489.696908281718,6.0,0.0,15.6,2.1908902300206643,0.33497326203208555,0.17888663715145667,0.33497326203208555,0.17888663715145667
mpage_orig,bi_kp,100,5,23046.10236914911,10858.50244780908,27239.85876808512,12862.379928147719,8.0,0.0,11.6,1.9493588689617927,0.2976942501942502,0.12633783912787477,0.2976942501942502,0.12633783912787477
mpage_orig,bi_kp,200,5,25270.78269230578,7424.007103901877,29974.808299924745,8567.369741874692,10.0,0.0,8.8,2.018662923818635,0.4357117553124813,0.06685451450153104,0.4357117553124813,0.06685451450153104
dense_reward,bi_tsp,25,5,12109.761833035232,500.6780132392721,14767.22654067385,395.21104741931833,4.0,0.0,25.6,4.560701700396552,0.706060606060606,0.05420770854544946,0.0,0.0
dense_reward,bi_tsp,50,5,13211.289905799602,367.862110064189,14629.559143982699,326.6534687685571,6.0,0.0,25.6,5.549774770204643,0.7090909090909091,0.06306562238868912,0.0,0.0
dense_reward,bi_tsp,100,5,13525.34690483358,431.66670152502945,14840.163060031644,335.79641985935115,8.0,0.0,23.8,5.540758070878027,0.7364734299516909,0.06258369737114901,0.0,0.0
dense_reward,bi_tsp,200,5,14258.78433313733,295.09549360666296,15227.378625460495,142.57558526692472,10.0,0.0,20.1,5.164784603446692,0.7809515324305061,0.05673137338012483,0.0,0.0
dense_reward,tri_tsp,25,5,149256.6018351161,12088.30795193993,206109.421852447,2025.3207797390405,6.0,0.0,26.400000000000002,3.577708763999664,0.7152173913043478,0.040959660176992964,0.0,0.0
dense_reward,tri_tsp,50,5,166818.2373547693,12551.76404185956,207046.9624759687,660.8803017324315,8.0,0.0,18.0,2.0,0.8061054579093432,0.02069138480388672,0.0,0.0
dense_reward,tri_tsp,100,5,179730.38356499805,5970.807414538689,207295.76719874257,361.9051382041573,10.0,0.0,13.200000000000001,1.30384048104053,0.8581043040593636,0.013481428459089369,0.0,0.0
dense_reward,tri_tsp,200,5,187223.55146867744,6189.621848121571,207455.07073145115,538.5162397787645,12.0,0.0,9.0,0.7905694150420949,0.9037239242112268,0.008708012229172096,0.0,0.0
dense_reward,bi_cvrp,25,5,9276.283823906891,5706.286467750437,16639.319062288785,2236.103162874602,3.4,1.3416407864998738,14.4,6.06630035524124,0.8420658761528327,0.07003272609009338,0.0,0.0
dense_reward,bi_cvrp,50,5,13735.830303371817,1802.2153829843533,18126.06805278319,996.9297440707437,6.0,0.0,14.8,3.3466401061363023,0.8361352657004831,0.03780852993004453,0.0,0.0
dense_reward,bi_cvrp,100,5,14994.71196511799,1964.2423323206299,17098.674431075993,1450.201692892266,8.0,0.0,13.6,2.8809720581775866,0.8505494505494505,0.0316590336063471,0.0,0.0
dense_reward,bi_cvrp,200,5,16821.71814317823,2900.6062877559298,19710.050447150115,3949.766070935211,10.0,0.0,11.7,4.466542286825459,0.8737343795408311,0.047836142873135964,0.0,0.0
dense_reward,bi_kp,25,5,21282.173094177462,9045.309810101426,25691.868129885424,10780.133809467454,4.0,0.0,18.4,3.5777087639996634,0.787012987012987,0.04077085602760558,0.0,0.0
dense_reward,bi_kp,50,5,21848.830997764715,9517.152095321566,31289.757903042337,10295.383592178057,6.0,0.0,15.2,3.3466401061363023,0.832463768115942,0.037691067692725184,0.0,0.0
dense_reward,bi_kp,100,5,30128.492937464445,8804.165507715568,36834.60207607608,3962.3604231150616,8.0,0.0,14.200000000000001,3.1144823004794873,0.842979242979243,0.033981475251012375,0.0,0.0
dense_reward,bi_kp,200,5,32395.173397402956,3544.441312339392,36641.44414332875,3760.544700961482,10.0,0.0,12.0,1.7677669529663682,0.8692385364694701,0.019629317981105347,0.0,0.0
hybrid_reward,bi_tsp,25,5,12145.103411993574,792.0692694190662,14484.786833780225,344.76291391612205,4.0,0.0,23.2,7.694153624668538,0.7259740259740259,0.0928417529300452,0.0,0.0
hybrid_reward,bi_tsp,50,5,12851.285647413717,1155.5543585565151,14821.508588744384,392.6181313532061,6.0,0.0,26.0,4.69041575982343,0.7081291172595521,0.05543290571326874,0.0,0.0
hybrid_reward,bi_tsp,100,5,13795.438023539858,555.2673260298624,14956.32716724005,513.0171980516761,8.0,0.0,24.0,6.4031242374328485,0.733992673992674,0.07077398526748352,0.0,0.0
hybrid_reward,bi_tsp,200,5,14203.974061159182,263.3525126268719,15053.399989949805,196.3194831571945,10.0,0.0,22.5,4.198213905936668,0.7540983606557377,0.04588211919056465,0.0,0.0
hybrid_reward,tri_tsp,25,5,157417.9140573497,8946.781986224627,207125.31316828294,447.8392604240679,6.0,0.0,27.2,4.381780460041329,0.7043478260869565,0.04762804847871007,0.0,0.0
hybrid_reward,tri_tsp,50,5,163796.40691106714,10891.55898085163,207355.06354443636,371.0843029776781,8.0,0.0,22.0,2.449489742783178,0.7628122109158186,0.027319712391960932,0.0,0.0
hybrid_reward,tri_tsp,100,5,178121.47594126879,3872.405895144704,207129.03714779127,601.8881317931166,10.0,0.0,13.8,1.6431676725154984,0.8519560741249143,0.017369329872638103,0.0,0.0
hybrid_reward,tri_tsp,200,5,189323.28872246464,4171.406253095143,207180.51067633205,645.0004788661563,12.0,0.0,9.7,0.8366600265340756,0.8962441443789096,0.009095196432050687,0.0,0.0
hybrid_reward,bi_cvrp,25,5,11064.22175215596,3538.3546162575085,16242.729783579867,2114.4538812702303,4.0,0.0,17.6,3.5777087639996634,0.8060952380952381,0.05261678512696785,0.0,0.0
hybrid_reward,bi_cvrp,50,5,13441.505205409294,1314.7361526169336,16915.914943364813,898.9438863071304,6.0,0.0,14.8,2.2803508501982757,0.8368115942028985,0.026553354439444052,0.0,0.0
hybrid_reward,bi_cvrp,100,5,15970.634878756646,2014.6256320833843,18704.266968517954,2009.3792149905933,8.0,0.0,12.4,1.9493588689617931,0.8649546106067846,0.02095968700094064,0.0,0.0
hybrid_reward,bi_cvrp,200,5,16785.891789655154,1442.9892729874298,18525.467753954224,1132.2034028887822,10.0,0.0,11.0,2.7156951228000534,0.880855260337016,0.029797858905478043,0.0,0.0
hybrid_reward,bi_kp,25,5,20438.423987685805,6382.9195166574045,32421.27782011499,4110.800707070658,4.0,0.0,20.8,3.3466401061363023,0.7523809523809524,0.03984095364447978,0.0,0.0
hybrid_reward,bi_kp,50,5,29929.44005847047,4109.515397895769,33636.20308588799,3810.652151625022,6.0,0.0,17.6,3.2863353450309964,0.8007070707070707,0.03833330006253465,0.0,0.0
hybrid_reward,bi_kp,100,5,25640.466835700976,11082.562034469423,36362.97761921861,3102.5389448047135,8.0,0.0,14.4,2.966479394838265,0.8408058608058608,0.032127811419835325,0.0,0.0
hybrid_reward,bi_kp,200,5,33675.85110533458,1439.3914758384005,37313.153545339504,1982.1270174505657,10.0,0.0,12.7,0.6708203932499369,0.8616595390829176,0.0072027447963712845,0.0,0.0
