comparator,task,budget,seed,metric,full,comparator_value,delta,delta_pct
full_old,bi_cvrp,100,2028,hv_final,20680.98919509936,19426.377085542983,1254.6121095563758,6.4582917547196805
full_old,bi_cvrp,100,2029,hv_final,18651.52617134129,14211.186133151905,4440.340038189386,31.245386532732454
full_old,bi_cvrp,200,2025,aubc,16281.627803444408,16037.488696074293,244.1391073701143,1.5223025998445383
full_old,bi_cvrp,200,2026,aubc,15475.863730195835,14931.676144467012,544.1875857288233,3.644517738421982
full_old,bi_cvrp,200,2027,aubc,16401.447816879467,16397.998799533445,3.4490173460217193,0.021033160132444273
full_old,bi_cvrp,200,2028,aubc,14278.701887727382,19713.14564926189,-5434.443761534507,-27.567613298377815
full_old,bi_cvrp,200,2029,aubc,16098.179226259928,14780.43510180324,1317.744124456689,8.915462335042633
full_old,bi_cvrp,200,2025,hv_final,23355.061311467292,17819.43188452699,5535.629426940301,31.065128578801726
full_old,bi_cvrp,200,2026,hv_final,21490.572812608785,16777.164207266305,4713.40860534248,28.094191289497374
full_old,bi_cvrp,200,2027,hv_final,17731.378121000052,17537.966630517058,193.41149048299485,1.1028159338976495
full_old,bi_cvrp,200,2028,hv_final,15977.595011048308,21842.82066400209,-5865.225652953783,-26.85196084871917
full_old,bi_cvrp,200,2029,hv_final,19301.556572451325,16843.80068581566,2457.7558866356667,14.591456717398522
full_old,bi_kp,25,2025,aubc,1195.390074893465,28611.304449234838,-27415.914374341373,-95.82196583516682
full_old,bi_kp,25,2026,aubc,31051.104865835445,2196.7880830037607,28854.316782831684,1313.4774813316524
full_old,bi_kp,25,2027,aubc,24689.802685460574,6626.963352512035,18062.83933294854,272.56585516051763
full_old,bi_kp,25,2028,aubc,26495.61225925405,29020.707743751438,-2525.0954844973894,-8.701012762313065
full_old,bi_kp,25,2029,aubc,33090.31622221644,13581.152563856147,19509.163658360292,143.64880717326236
full_old,bi_kp,25,2025,hv_final,13437.249410821145,33268.95866190097,-19831.709251079825,-59.610249459929
full_old,bi_kp,25,2026,hv_final,36965.60103075648,2496.3500943224553,34469.25093643402,1380.7859328236357
full_old,bi_kp,25,2027,hv_final,28056.593960750648,7889.242086323851,20167.351874426797,255.63104356231227
full_old,bi_kp,25,2028,hv_final,28799.57854266745,32978.07698153573,-4178.498438868279,-12.670533946560314
full_old,bi_kp,25,2029,hv_final,36767.01802468493,16976.440704820183,19790.577319864744,116.57671748734431
full_old,bi_kp,50,2025,aubc,30250.70023540865,30057.857556652696,192.8426787559547,0.6415716036729746
full_old,bi_kp,50,2026,aubc,34539.384433736785,22676.958042836908,11862.426390899876,52.31048348059595
full_old,bi_kp,50,2027,aubc,25906.364408497604,34463.344381507195,-8556.979973009591,-24.829221094401998
full_old,bi_kp,50,2028,aubc,28490.691990880394,36393.73486903158,-7903.042878151184,-21.715393890161295
full_old,bi_kp,50,2029,aubc,33788.26416035615,9274.503931127112,24513.76022922904,264.3134383387978
full_old,bi_kp,50,2025,hv_final,36520.044364833804,33030.612699618345,3489.4316652154594,10.564235356299578
full_old,bi_kp,50,2026,hv_final,37139.1230470288,27321.63619618904,9817.48685083976,35.93301213859641
full_old,bi_kp,50,2027,hv_final,31983.165936416797,39613.03951897379,-7629.873582556993,-19.26101524954289
full_old,bi_kp,50,2028,hv_final,33470.948829332636,40891.83693149615,-7420.888102163517,-18.147602697808175
full_old,bi_kp,50,2029,hv_final,37542.51573372906,10420.790933850689,27121.72479987837,260.2655112461445
full_old,bi_kp,100,2025,aubc,26375.912708105887,35742.61219178652,-9366.69948368063,-26.205973512571234
