ablation,task,budget,seed,aubc,consumed_budget,total_budget,hv_final,pareto_size,n_calls,run_dir,sample_count,valid_count,null_score_count,recorded_null_rate,valid_yield_per_100_calls,generation_attempts,non_generation_calls,unregistered_generation_count,invalid_null_proxy_rate
dense_reward,bi_tsp,50,2027,13056.312366195669,50.0,50.0,14402.476796712172,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B50/seed2027/20260617_124222_BITSPEvaluation_BMAB-dense_reward,15,15,0,0.0,30.0,44,6,29,0.6590909090909091
dense_reward,bi_tsp,50,2028,13804.820653423443,50.0,50.0,15174.777579695055,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B50/seed2028/20260617_124849_BITSPEvaluation_BMAB-dense_reward,12,12,0,0.0,24.0,44,6,32,0.7272727272727273
dense_reward,bi_tsp,50,2029,13291.986245932116,50.0,50.0,14620.850214427399,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B50/seed2029/20260617_125649_BITSPEvaluation_BMAB-dense_reward,16,16,0,0.0,32.0,44,6,28,0.6363636363636364
dense_reward,tri_tsp,100,2025,181314.01606162902,100.0,100.0,207216.01835614746,10,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/tri_tsp/B100/seed2025/20260617_191445_TRITSPEvaluation_BMAB-dense_reward,15,15,0,0.0,15.0,93,7,78,0.8387096774193549
dense_reward,tri_tsp,100,2026,187758.4186748727,100.0,100.0,207468.9703569202,10,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/tri_tsp/B100/seed2026/20260617_194445_TRITSPEvaluation_BMAB-dense_reward,12,12,0,0.0,12.0,92,8,80,0.8695652173913043
dense_reward,tri_tsp,100,2027,172699.5853477445,100.0,100.0,206826.08304182475,10,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/tri_tsp/B100/seed2027/20260617_200924_TRITSPEvaluation_BMAB-dense_reward,14,14,0,0.0,14.000000000000002,94,6,80,0.851063829787234
dense_reward,tri_tsp,100,2028,181822.43007078912,100.0,100.0,207797.0629380447,10,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/tri_tsp/B100/seed2028/20260617_203712_TRITSPEvaluation_BMAB-dense_reward,13,13,0,0.0,13.0,93,7,80,0.8602150537634409
dense_reward,tri_tsp,100,2029,175057.46766995493,100.0,100.0,207170.70130077575,10,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/tri_tsp/B100/seed2029/20260617_210516_TRITSPEvaluation_BMAB-dense_reward,12,12,0,0.0,12.0,93,7,81,0.8709677419354839
dense_reward,tri_tsp,200,2025,191607.055332038,200.0,200.0,206791.2401713577,12,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/tri_tsp/B200/seed2025/20260617_214157_TRITSPEvaluation_BMAB-dense_reward,18,18,0,0.0,9.0,186,14,168,0.9032258064516129
dense_reward,tri_tsp,200,2026,178573.622994732,200.0,200.0,207344.45974406038,12,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/tri_tsp/B200/seed2026/20260617_223626_TRITSPEvaluation_BMAB-dense_reward,19,19,0,0.0,9.5,188,12,169,0.898936170212766
dense_reward,tri_tsp,200,2027,190006.31905392915,200.0,200.0,207139.8143434851,12,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/tri_tsp/B200/seed2027/20260617_235243_TRITSPEvaluation_BMAB-dense_reward,17,17,0,0.0,8.5,187,13,170,0.9090909090909091
dense_reward,tri_tsp,200,2028,182947.16858441345,200.0,200.0,207916.29621694633,12,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/tri_tsp/B200/seed2028/20260618_033551_TRITSPEvaluation_BMAB-dense_reward,16,16,0,0.0,8.0,188,12,172,0.9148936170212766
