ablation,task,budget,seed,total_budget,sample_count,valid_count,null_score_count,recorded_null_rate,valid_yield_per_budget,generation_attempts,non_generation_calls,unregistered_generation_count,invalid_null_proxy_rate,run_dir
full,tri_tsp,100,2027,100.0,12,12,0,0.0,0.12,92,8,80,0.8695652173913043,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B100/seed2027/20260524_073104_TRITSPEvaluation_BMAB-full
full,tri_tsp,100,2028,100.0,11,11,0,0.0,0.11,93,7,82,0.8817204301075269,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B100/seed2028/20260524_075945_TRITSPEvaluation_BMAB-full
full,tri_tsp,100,2029,100.0,14,14,0,0.0,0.14,92,8,78,0.8478260869565217,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B100/seed2029/20260524_082723_TRITSPEvaluation_BMAB-full
full,tri_tsp,200,2025,200.0,17,17,0,0.0,0.085,186,14,169,0.9086021505376344,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B200/seed2025/20260524_090126_TRITSPEvaluation_BMAB-full
full,tri_tsp,200,2026,200.0,18,18,0,0.0,0.09,186,14,168,0.9032258064516129,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B200/seed2026/20260524_095222_TRITSPEvaluation_BMAB-full
full,tri_tsp,200,2027,200.0,19,19,0,0.0,0.095,186,14,167,0.8978494623655914,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B200/seed2027/20260524_103945_TRITSPEvaluation_BMAB-full
full,tri_tsp,200,2028,200.0,17,17,0,0.0,0.085,186,14,169,0.9086021505376344,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B200/seed2028/20260524_112453_TRITSPEvaluation_BMAB-full
full,tri_tsp,200,2029,200.0,19,19,0,0.0,0.095,186,14,167,0.8978494623655914,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B200/seed2029/20260524_121235_TRITSPEvaluation_BMAB-full
full,tri_tsp,25,2025,25.0,7,7,0,0.0,0.28,23,2,16,0.6956521739130435,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B25/seed2025/20260524_032652_TRITSPEvaluation_BMAB-full
full,tri_tsp,25,2026,25.0,8,8,0,0.0,0.32,23,2,15,0.6521739130434783,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B25/seed2026/20260524_034111_TRITSPEvaluation_BMAB-full
full,tri_tsp,25,2027,25.0,5,5,0,0.0,0.2,25,0,20,0.8,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B25/seed2027/20260524_035644_TRITSPEvaluation_BMAB-full
full,tri_tsp,25,2028,25.0,6,6,0,0.0,0.24,24,1,18,0.75,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B25/seed2028/20260524_041723_TRITSPEvaluation_BMAB-full
full,tri_tsp,25,2029,25.0,7,7,0,0.0,0.28,23,2,16,0.6956521739130435,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B25/seed2029/20260524_043222_TRITSPEvaluation_BMAB-full
full,tri_tsp,50,2025,50.0,11,11,0,0.0,0.22,45,5,34,0.7555555555555555,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B50/seed2025/20260524_044749_TRITSPEvaluation_BMAB-full
full,tri_tsp,50,2026,50.0,8,8,0,0.0,0.16,46,4,38,0.8260869565217391,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B50/seed2026/20260524_050653_TRITSPEvaluation_BMAB-full
full,tri_tsp,50,2027,50.0,8,8,0,0.0,0.16,47,3,39,0.8297872340425532,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B50/seed2027/20260524_052430_TRITSPEvaluation_BMAB-full
full,tri_tsp,50,2028,50.0,9,9,0,0.0,0.18,47,3,38,0.8085106382978723,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B50/seed2028/20260524_053855_TRITSPEvaluation_BMAB-full
full,tri_tsp,50,2029,50.0,10,10,0,0.0,0.2,47,3,37,0.7872340425531915,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B50/seed2029/20260524_055540_TRITSPEvaluation_BMAB-full
mpage_orig,bi_cvrp,100,2025,100.0,26,12,14,0.5384615384615384,0.12,,,,0.5384615384615384,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B100/seed2025/20260526_151907_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,100,2026,100.0,20,8,12,0.6,0.08,,,,0.6,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B100/seed2026/20260526_154806_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,100,2027,100.0,23,10,13,0.5652173913043478,0.1,,,,0.5652173913043478,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B100/seed2027/20260526_161425_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,100,2028,100.0,24,12,12,0.5,0.12,,,,0.5,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B100/seed2028/20260526_164006_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,100,2029,100.0,26,15,11,0.4230769230769231,0.15,,,,0.4230769230769231,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B100/seed2029/20260526_170422_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,200,2025,200.0,39,17,22,0.5641025641025641,0.085,,,,0.5641025641025641,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B200/seed2025/20260526_173514_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,200,2026,200.0,33,17,16,0.48484848484848486,0.085,,,,0.48484848484848486,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B200/seed2026/20260526_183211_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,200,2027,200.0,33,21,12,0.36363636363636365,0.105,,,,0.36363636363636365,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B200/seed2027/20260526_191542_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,200,2028,200.0,31,14,17,0.5483870967741935,0.07,,,,0.5483870967741935,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B200/seed2028/20260526_200049_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,200,2029,200.0,31,17,14,0.45161290322580644,0.085,,,,0.45161290322580644,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B200/seed2029/20260526_205018_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,25,2025,25.0,10,6,4,0.4,0.24,,,,0.4,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B25/seed2025/20260526_131017_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,25,2026,25.0,9,7,2,0.2222222222222222,0.28,,,,0.2222222222222222,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B25/seed2026/20260526_131910_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,25,2027,25.0,7,4,3,0.42857142857142855,0.16,,,,0.42857142857142855,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B25/seed2027/20260526_132610_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,25,2028,25.0,5,4,1,0.2,0.16,,,,0.2,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B25/seed2028/20260526_133327_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,25,2029,25.0,8,5,3,0.375,0.2,,,,0.375,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B25/seed2029/20260526_134202_BICVRPEvaluation_MPaGE-orig
