ablation,task,budget,seed,aubc,hv_final,pareto_size,consumed_budget,total_budget,n_calls,run_dir
dense_reward,bi_kp,25,2028,23899.723007233642,26555.247785815158,4,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B25/seed2028/20260618_132142_BIKPEvaluation_BMAB-dense_reward
dense_reward,bi_kp,25,2029,5195.77219738122,6836.54236497529,4,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B25/seed2029/20260618_132800_BIKPEvaluation_BMAB-dense_reward
dense_reward,bi_kp,50,2025,28396.632557432615,37363.99020714818,6,50.0,50.0,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B50/seed2025/20260618_133756_BIKPEvaluation_BMAB-dense_reward
dense_reward,bi_kp,50,2026,10341.829664563904,13430.947616316758,6,50.0,50.0,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B50/seed2026/20260618_135214_BIKPEvaluation_BMAB-dense_reward
dense_reward,bi_kp,50,2027,12853.050914261157,31403.547186005708,6,50.0,50.0,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B50/seed2027/20260618_141510_BIKPEvaluation_BMAB-dense_reward
dense_reward,bi_kp,50,2028,26737.64187495004,37003.31658090265,6,50.0,50.0,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B50/seed2028/20260618_143318_BIKPEvaluation_BMAB-dense_reward
dense_reward,bi_kp,50,2029,30914.999977615862,37246.98792483839,6,50.0,50.0,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B50/seed2029/20260618_144824_BIKPEvaluation_BMAB-dense_reward
dense_reward,bi_tsp,100,2025,13711.602888211439,14972.278799418124,8,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B100/seed2025/20260617_130412_BITSPEvaluation_BMAB-dense_reward
dense_reward,bi_tsp,100,2026,13246.83535338595,14241.610772466325,8,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B100/seed2026/20260617_131810_BITSPEvaluation_BMAB-dense_reward
dense_reward,bi_tsp,100,2027,12929.543428777675,14961.316176629802,8,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B100/seed2027/20260617_133122_BITSPEvaluation_BMAB-dense_reward
dense_reward,bi_tsp,100,2028,13725.518540414116,15035.488813101614,8,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B100/seed2028/20260617_134334_BITSPEvaluation_BMAB-dense_reward
dense_reward,bi_tsp,100,2029,14013.234313378718,14990.120738542351,8,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B100/seed2029/20260617_135539_BITSPEvaluation_BMAB-dense_reward
dense_reward,bi_tsp,200,2025,14060.845705673388,15104.124401757512,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B200/seed2025/20260617_140746_BITSPEvaluation_BMAB-dense_reward
dense_reward,bi_tsp,200,2026,13892.321874678542,15452.465736428698,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B200/seed2026/20260617_143822_BITSPEvaluation_BMAB-dense_reward
dense_reward,bi_tsp,200,2027,14570.7073860803,15265.087610142253,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B200/seed2027/20260617_151047_BITSPEvaluation_BMAB-dense_reward
dense_reward,bi_tsp,200,2028,14233.890298708584,15111.253378289313,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B200/seed2028/20260617_154550_BITSPEvaluation_BMAB-dense_reward
dense_reward,bi_tsp,200,2029,14536.156400545839,15203.9620006847,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B200/seed2029/20260617_161351_BITSPEvaluation_BMAB-dense_reward
dense_reward,bi_tsp,25,2025,12010.837202807923,14647.635057547972,4,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B25/seed2025/20260617_121009_BITSPEvaluation_BMAB-dense_reward
dense_reward,bi_tsp,25,2026,12335.423250290218,15043.199085719782,4,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B25/seed2026/20260617_121324_BITSPEvaluation_BMAB-dense_reward
dense_reward,bi_tsp,25,2027,11297.014967557683,14122.847012452077,4,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B25/seed2027/20260617_121743_BITSPEvaluation_BMAB-dense_reward
dense_reward,bi_tsp,25,2028,12604.658861599266,15009.239369284833,4,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B25/seed2028/20260617_122208_BITSPEvaluation_BMAB-dense_reward
dense_reward,bi_tsp,25,2029,12300.874882921076,15013.212178364589,4,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B25/seed2029/20260617_122534_BITSPEvaluation_BMAB-dense_reward
dense_reward,bi_tsp,50,2025,12842.8731375605,14597.38533516372,6,50.0,50.0,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B50/seed2025/20260617_122908_BITSPEvaluation_BMAB-dense_reward
dense_reward,bi_tsp,50,2026,13060.457125886285,14352.305793915144,6,50.0,50.0,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B50/seed2026/20260617_123627_BITSPEvaluation_BMAB-dense_reward
dense_reward,bi_tsp,50,2027,13056.312366195669,14402.476796712172,6,50.0,50.0,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B50/seed2027/20260617_124222_BITSPEvaluation_BMAB-dense_reward
dense_reward,bi_tsp,50,2028,13804.820653423443,15174.777579695055,6,50.0,50.0,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B50/seed2028/20260617_124849_BITSPEvaluation_BMAB-dense_reward
dense_reward,bi_tsp,50,2029,13291.986245932116,14620.850214427399,6,50.0,50.0,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B50/seed2029/20260617_125649_BITSPEvaluation_BMAB-dense_reward
dense_reward,tri_tsp,100,2025,181314.01606162902,207216.01835614746,10,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/tri_tsp/B100/seed2025/20260617_191445_TRITSPEvaluation_BMAB-dense_reward
dense_reward,tri_tsp,100,2026,187758.4186748727,207468.9703569202,10,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/tri_tsp/B100/seed2026/20260617_194445_TRITSPEvaluation_BMAB-dense_reward
dense_reward,tri_tsp,100,2027,172699.5853477445,206826.08304182475,10,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/tri_tsp/B100/seed2027/20260617_200924_TRITSPEvaluation_BMAB-dense_reward
dense_reward,tri_tsp,100,2028,181822.43007078912,207797.0629380447,10,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/tri_tsp/B100/seed2028/20260617_203712_TRITSPEvaluation_BMAB-dense_reward
dense_reward,tri_tsp,100,2029,175057.46766995493,207170.70130077575,10,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/tri_tsp/B100/seed2029/20260617_210516_TRITSPEvaluation_BMAB-dense_reward
dense_reward,tri_tsp,200,2025,191607.055332038,206791.2401713577,12,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/tri_tsp/B200/seed2025/20260617_214157_TRITSPEvaluation_BMAB-dense_reward
dense_reward,tri_tsp,200,2026,178573.622994732,207344.45974406038,12,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/tri_tsp/B200/seed2026/20260617_223626_TRITSPEvaluation_BMAB-dense_reward
dense_reward,tri_tsp,200,2027,190006.31905392915,207139.8143434851,12,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/tri_tsp/B200/seed2027/20260617_235243_TRITSPEvaluation_BMAB-dense_reward
dense_reward,tri_tsp,200,2028,182947.16858441345,207916.29621694633,12,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/tri_tsp/B200/seed2028/20260618_033551_TRITSPEvaluation_BMAB-dense_reward
dense_reward,tri_tsp,200,2029,192983.59137827466,208083.5431814063,12,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/tri_tsp/B200/seed2029/20260618_043215_TRITSPEvaluation_BMAB-dense_reward
dense_reward,tri_tsp,25,2025,138205.63887431155,203243.58657986994,6,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/tri_tsp/B25/seed2025/20260617_164409_TRITSPEvaluation_BMAB-dense_reward
